Exercise,Sets x Reps/Time,Weight,Complete,Demo,Notes
"DAY 1: Chest, Shoulders & Arms",,,,,
Incline Dumbbell Press (10-12),15,30,TRUE,Incline DB Press Tutorial,
,12,30,TRUE,,
,12,30,TRUE,,
,,30,FALSE,,
Seated Dumbbell Shoulder Press (10-12),12,30,TRUE,Seated Shoulder Press Form,
,12,30,TRUE,,
,12,30,TRUE,,
Doorway pec stretch - 30 sec each side,,,TRUE,,
Cable Chest Flyes (12-15),15,100,TRUE,Cable Flyes Demo,
,13,100,TRUE,,
,15,100,TRUE,,
Face Pulls (high reps for shoulder health),3 x 20,42.5,TRUE,Face Pulls Tutorial,
,,42.5,TRUE,,
,,42.5,TRUE,,
Cross-body shoulder stretch - 30 sec each side,,,TRUE,https://youtu.be/Pg0JvLSfWwM?si=3wW3N0IyrD8LMQRh,
Cable Tricep Pushdowns (12-15),15,42.5,TRUE,Tricep Pushdown Form,
,15,42.5,TRUE,,
,15,47.5,TRUE,,
Dumbbell Hammer Curls (12-15),15,20,TRUE,Hammer Curls Demo,
,12,20,TRUE,,
,12,20,TRUE,,
Tricep overhead stretch - 30 sec each arm,,,TRUE,https://youtu.be/3_eaPeNRpzk?si=yYVnLZfDzRmDegC_&t=10,
Overhead Tricep Extension (light 12-15),15,25,TRUE,Overhead Tricep Extension,
,15,25,TRUE,,
,15,25,TRUE,,
Cable Bicep Curls (12-15),12,37.5,TRUE,Cable Curls Tutorial,
,12,37.5,TRUE,,
,12,37.5,TRUE,,
Forearm flexor/extensor stretches - 30 sec each,,,TRUE,https://youtu.be/Ayhu7TzNGSQ?si=C0NpV_YSYEkogFy5&t=26,
External Rotations with Band,3 x 15 each arm,10,TRUE,External Rotation Demo,
,,,TRUE,,red band or weight 
,,,TRUE,,
Wall Slides w/Lift Off,3 x 12,,TRUE,Wall Slides Tutorial,
,,,TRUE,,
,,,TRUE,,
Wrist Curls (forearm tendonitis prevention),2 x 20 each,10,TRUE,Wrist Curls Demo,
,,15,TRUE,,
,,,,,
DAY 2: Back & Biceps,,,,,
Lat Pulldown (wide grip 10-12),12,100,TRUE,Lat Pulldown Form,
,10,100,TRUE,,
,10,100,TRUE,,
,,,FALSE,,
Chest-Supported Rows (12-15),15,35,TRUE,https://youtu.be/0bzN1oy0gtQ?si=BZ8nhEs5WosRNJos&t=38,
,12,35,TRUE,,
,12,35,TRUE,,
,,,FALSE,,
Lat stretch (pull arm across) - 30 sec each side,,,TRUE,https://youtu.be/6V5tSn9oEJg?si=hZVk6XWOnPcq8Hx7&t=252,
Cable Rows (neutral grip - 12-15),15,100,TRUE,Cable Row Tutorial,
,15,100,TRUE,,
,12,100,TRUE,,
Reverse Pec Deck (rear delts),3 x 15,80,TRUE,https://youtube.com/shorts/7tgx6QHB0-A?si=X5-rjivVzjrL7gZl,
,15,80,TRUE,,
,15,80,TRUE,,
Thread the needle - 30 sec each side,,,TRUE,,
Incline Dumbbell Curls (10-12),12,15,TRUE,Incline Curls Demo,
,10,15,TRUE,,
,10,15,TRUE,,
Preacher Curls (machine or bench - 12-15),15,40,TRUE,Preacher Curls Tutorial,
,15,40,TRUE,,
,12,40,TRUE,,
Bicep wall stretch - 30 sec each side,,,TRUE,https://youtube.com/shorts/j0rdJpN4B8Y?si=s7YD7qBcdfUfGHZ0,
Dumbbell Shrugs (controlled),3 x 15,45,TRUE,Dumbbell Shrugs Form,
,,45,TRUE,,
,,45,TRUE,,
Reverse Curls (forearm strength),3 x 15,10,TRUE,https://youtube.com/shorts/1Nvg_vHUJPY?si=arsQGG6ZoDIQmTaf,
,,10,TRUE,,
,,10,TRUE,,
Upper trap stretch - 30 sec each side,,,TRUE,https://youtu.be/yho44869qPw?si=1AxItJtvprPgfoL7&t=65,
Prone YTWs,3 x 10 each,,TRUE,https://youtu.be/QdGTI4Lshg4?si=VJBW_u0alTqy5b50,
,,,TRUE,,
,,,TRUE,,
Plank with Shoulder Taps,3 x 20 total,,TRUE,,
,,,TRUE,,
,,,TRUE,,
Hanging Dead Hang (grip strength 20-30 sec),30,,TRUE,,
,30,,TRUE,,
,30,,TRUE,,
,,,,,
DAY 3: Legs & Core,,,,,
Leg Press (12-15),15,235,TRUE,Leg Press Form,
,15,235,TRUE,,
,15,235,TRUE,,
,,,FALSE,,
Leg Extensions,4 x 15,90,TRUE,Leg Extensions Demo,
,15,90,TRUE,,
,15,90,TRUE,,
,,,FALSE,,
Standing quad stretch - 30 sec each leg,,,TRUE,https://youtu.be/Uwwuc8pRRc0?si=wqZIub-SBw7at7ea&t=2,
Leg Curls (lying or seated 12-15),15,120,TRUE,Leg Curls Tutorial,
,15,120,TRUE,,
,15,120,TRUE,,
,,,FALSE,,
Standing Calf Raises (machine),3 x 20,190,TRUE,,
,,190,TRUE,,
,,190,TRUE,,
Figure-4 stretch - 30 sec each side,,,TRUE,https://youtube.com/shorts/4CqSgEx5q_g?si=o8Fy1R9lbjNhaB2g,
Smith Machine Lunges,3 x 12 each leg,70,TRUE,Smith Machine Lunges,
,,70,TRUE,,
,,70,TRUE,,
Barbell Hip Thrusts (12-15),15,90,TRUE,Hip Thrust Form,
,15,90,TRUE,,
,13,90,TRUE,,
Hip flexor stretch - 30 sec each side,,,TRUE,https://youtube.com/shorts/ZQXGUfGmgKc?si=kRsaB5pQgh8V4N6s,
Hip Abductor Machine,3 x 15,145,TRUE,Hip Abductor Machine,
,,145,TRUE,,
,,145,TRUE,,
Hip Adductor Machine,3 x 15,145,TRUE,Hip Adductor Machine,
,,145,TRUE,,
,,145,TRUE,,
Seated spinal twist - 30 sec each side,,,TRUE,https://youtube.com/shorts/CEGaNMsb8IA?si=vMRvNEv5ROPe0YKt,
Cable Woodchops (12 each side),,35,TRUE,Cable Woodchops Demo,
,12,35,TRUE,,
,12,37.5,TRUE,,
Pallof Press,3 x 12 each side,30,TRUE,Pallof Press Tutorial,weight or medium band
,,,TRUE,,
,,,TRUE,,
Full Back Stretch - 30 seconds ,,,TRUE,https://youtu.be/rWFRxEr6eQ8?si=hAwHkvUYLM0BK-RO&t=6,
Weighted Russian Twists,15 each side,12,TRUE,Russian Twists Demo,
,,14,TRUE,,
,,12,TRUE,,
Seated Calf Raises (machine),3 x 20,160,TRUE,,
,,160,TRUE,,
,,160,TRUE,,
Bicycle Crunches,3 x 20 each side,,TRUE,Bicycle Crunches Form,
,,,TRUE,,
,,,TRUE,,
